




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	upload_1 (Synechocystis)
Reference List:	Synechocystis (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Synechocystis - REFLIST (3448)	upload_1 (29)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
carbamoyl phosphate metabolic process (GO:0070408)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein refolding (GO:0042026)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
leucine import across plasma membrane (GO:0098713)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
histidine biosynthetic process (GO:0000105)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
aromatic compound biosynthetic process (GO:0019438)	216	0	1.82	-	 < 0.01	2.56E-01	1.00E00
sulfate assimilation (GO:0000103)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
sulfur amino acid transport (GO:0000101)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
removal of superoxide radicals (GO:0019430)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of generation of precursor metabolites and energy (GO:0043467)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
amino acid salvage (GO:0043102)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
purine-containing compound salvage (GO:0043101)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleobase salvage (GO:0043100)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of ATP-dependent activity (GO:0043462)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular component organization or biogenesis (GO:0071840)	138	0	1.16	-	 < 0.01	6.28E-01	1.00E00
negative regulation of ligase activity (GO:0051352)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
phylloquinone metabolic process (GO:0042374)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
vitamin K metabolic process (GO:0042373)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
polysaccharide localization (GO:0033037)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phylloquinone biosynthetic process (GO:0042372)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
vitamin K biosynthetic process (GO:0042371)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA biosynthetic process from acetate (GO:0019427)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
enzyme-directed rRNA pseudouridine synthesis (GO:0000455)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
enzyme-directed rRNA 2'-O-methylation (GO:0000453)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
rRNA 2'-O-methylation (GO:0000451)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidyl-L-beta-methylthioaspartic acid biosynthetic process from peptidyl-aspartic acid (GO:0018339)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of secondary metabolic process (GO:0043455)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA integration (GO:0015074)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of transferase activity (GO:0051347)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
tricarboxylic acid cycle (GO:0006099)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
GDP metabolic process (GO:0046710)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pentose-phosphate shunt (GO:0006098)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
glyoxylate cycle (GO:0006097)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
gluconeogenesis (GO:0006094)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of ligase activity (GO:0051340)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
amino acid import across plasma membrane (GO:0089718)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ncRNA 5'-end processing (GO:0034471)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
water-soluble vitamin catabolic process (GO:0042365)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ncRNA processing (GO:0034470)	60	0	.50	-	 < 0.01	1.00E00	1.00E00
water-soluble vitamin biosynthetic process (GO:0042364)	49	0	.41	-	 < 0.01	1.00E00	1.00E00
sulfate reduction (GO:0019419)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
putrescine biosynthetic process from arginine, using agmatinase (GO:0033389)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
fat-soluble vitamin biosynthetic process (GO:0042362)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
sulfide oxidation (GO:0019418)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
putrescine biosynthetic process from arginine (GO:0033388)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
vitamin E metabolic process (GO:0042360)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
alkane catabolic process (GO:0043448)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular alkane metabolic process (GO:0043446)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ribonucleoprotein complex subunit organization (GO:0071826)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of transferase activity (GO:0051338)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
lactate metabolic process (GO:0006089)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA biosynthetic process from pyruvate (GO:0006086)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA biosynthetic process (GO:0006085)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA metabolic process (GO:0006084)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
pseudouridine synthesis (GO:0001522)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
acetate metabolic process (GO:0006083)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
thiamine diphosphate metabolic process (GO:0042357)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular aldehyde metabolic process (GO:0006081)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
'de novo' GDP-L-fucose biosynthetic process (GO:0042351)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
tetrapyrrole catabolic process (GO:0033015)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
GDP-L-fucose biosynthetic process (GO:0042350)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
tetrapyrrole biosynthetic process (GO:0033014)	52	0	.44	-	 < 0.01	1.00E00	1.00E00
alditol catabolic process (GO:0019405)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
tetrapyrrole metabolic process (GO:0033013)	54	0	.45	-	 < 0.01	1.00E00	1.00E00
non-membrane-bounded organelle assembly (GO:0140694)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
alditol biosynthetic process (GO:0019401)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
alditol metabolic process (GO:0019400)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
molybdenum incorporation into molybdenum-molybdopterin complex (GO:0018315)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular glucan metabolic process (GO:0006073)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
glycerol-3-phosphate metabolic process (GO:0006072)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA methylation (GO:0001510)	25	0	.21	-	 < 0.01	1.00E00	1.00E00
glycerol metabolic process (GO:0006071)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
cellular macromolecule localization (GO:0070727)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
glycoside biosynthetic process (GO:0016138)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glycoside metabolic process (GO:0016137)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein localization to organelle (GO:0033365)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
lysine biosynthetic process via diaminopimelate, diaminopimelate-aminotransferase pathway (GO:0033362)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
polyol metabolic process (GO:0019751)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
potassium ion transmembrane transport (GO:0071805)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
ethanol oxidation (GO:0006069)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of cellular protein metabolic process (GO:0032270)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
ethanol metabolic process (GO:0006067)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
alcohol metabolic process (GO:0006066)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
UDP-glucuronate biosynthetic process (GO:0006065)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein localization to cell periphery (GO:1990778)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lipid oxidation (GO:0034440)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glucosamine-containing compound metabolic process (GO:1901071)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein peptidyl-prolyl isomerization (GO:0000413)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
sterol biosynthetic process (GO:0016126)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sterol metabolic process (GO:0016125)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
S-adenosylmethionine cycle (GO:0033353)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein processing (GO:0016485)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
tRNA threonylcarbamoyladenosine modification (GO:0002949)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
carotene catabolic process (GO:0016121)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein repair (GO:0030091)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
carotene biosynthetic process (GO:0016120)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nitrogen utilization (GO:0019740)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular protein metabolic process (GO:0032269)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of cellular protein metabolic process (GO:0032268)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
urea catabolic process (GO:0043419)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA dihydrouridine synthesis (GO:0002943)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleotide salvage (GO:0032262)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
macromolecule methylation (GO:0043414)	38	0	.32	-	 < 0.01	1.00E00	1.00E00
purine nucleotide salvage (GO:0032261)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
macromolecule glycosylation (GO:0043413)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
localization within membrane (GO:0051668)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
chromosome separation (GO:0051304)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to radiation (GO:0009314)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
oligosaccharide catabolic process (GO:0009313)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cell division (GO:0051302)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oligosaccharide biosynthetic process (GO:0009312)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
cell division (GO:0051301)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
oligosaccharide metabolic process (GO:0009311)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
positive regulation of phosphorylation (GO:0042327)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of translational initiation (GO:0045947)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
amine catabolic process (GO:0009310)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of phosphorylation (GO:0042326)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
N-acetylmannosamine metabolic process (GO:0006051)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of phosphorylation (GO:0042325)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
mannosamine metabolic process (GO:0006050)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
carotene metabolic process (GO:0016119)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
methylglyoxal catabolic process to lactate (GO:0061727)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
carotenoid biosynthetic process (GO:0016117)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
carotenoid metabolic process (GO:0016116)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
terpenoid biosynthetic process (GO:0016114)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
tRNA N1-guanine methylation (GO:0002939)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
methylation (GO:0032259)	60	0	.50	-	 < 0.01	1.00E00	1.00E00
oxidative DNA demethylation (GO:0035511)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
amine biosynthetic process (GO:0009309)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
DNA dealkylation (GO:0035510)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
amine metabolic process (GO:0009308)	18	0	.15	-	 < 0.01	1.00E00	1.00E00
DNA restriction-modification system (GO:0009307)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylglucosamine biosynthetic process (GO:0006048)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
plastid membrane organization (GO:0009668)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylglucosamine metabolic process (GO:0006047)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
protein biotinylation (GO:0009305)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
rRNA methylation (GO:0031167)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
N-acetylglucosamine metabolic process (GO:0006044)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of phosphate metabolic process (GO:0045937)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of phosphate metabolic process (GO:0045936)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
maintenance of location in cell (GO:0051651)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
metallo-sulfur cluster assembly (GO:0031163)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
amino sugar metabolic process (GO:0006040)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
spermidine metabolic process (GO:0008216)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
tetraterpenoid biosynthetic process (GO:0016109)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
glucose catabolic process to pyruvate (GO:0061718)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
tetraterpenoid metabolic process (GO:0016108)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
protein alkylation (GO:0008213)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
cellular homeostasis (GO:0019725)	26	0	.22	-	 < 0.01	1.00E00	1.00E00
triterpenoid biosynthetic process (GO:0016104)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular polysaccharide biosynthetic process (GO:0033692)	18	0	.15	-	 < 0.01	1.00E00	1.00E00
diterpenoid metabolic process (GO:0016101)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Mo-molybdopterin cofactor metabolic process (GO:0019720)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
establishment of localization in cell (GO:0051649)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
chloroplast organization (GO:0009658)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA metabolic process (GO:0006399)	66	0	.56	-	 < 0.01	1.00E00	1.00E00
plastid organization (GO:0009657)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mRNA processing (GO:0006397)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA processing (GO:0006396)	63	0	.53	-	 < 0.01	1.00E00	1.00E00
tRNA 3'-trailer cleavage, endonucleolytic (GO:0034414)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
anatomical structure morphogenesis (GO:0009653)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
cellular response to aldehyde (GO:0110096)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular detoxification (GO:1990748)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
cellular detoxification of aldehyde (GO:0110095)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular localization (GO:0051641)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
steroid metabolic process (GO:0008202)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
UDP-D-xylose biosynthetic process (GO:0033320)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
corrin metabolic process (GO:0015009)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
proteoglycan metabolic process (GO:0006029)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glycosaminoglycan catabolic process (GO:0006027)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
aminoglycan catabolic process (GO:0006026)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
glycosaminoglycan biosynthetic process (GO:0006024)	23	0	.19	-	 < 0.01	1.00E00	1.00E00
response to high light intensity (GO:0009644)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleobase-containing small molecule biosynthetic process (GO:0034404)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of ion transmembrane transport (GO:0034766)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
aminoglycan biosynthetic process (GO:0006023)	23	0	.19	-	 < 0.01	1.00E00	1.00E00
regulation of ion transmembrane transport (GO:0034765)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
aminoglycan metabolic process (GO:0006022)	34	0	.29	-	 < 0.01	1.00E00	1.00E00
response to light intensity (GO:0009642)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of transmembrane transport (GO:0034763)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
inositol metabolic process (GO:0006020)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
adenosine to inosine editing (GO:0006382)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of transmembrane transport (GO:0034762)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of response to reactive oxygen species (GO:1901031)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to environmental stimulus (GO:0104004)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
UDP-D-xylose metabolic process (GO:0033319)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of DNA recombination (GO:0045910)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of kinase activity (GO:0033674)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA synthesis involved in DNA repair (GO:0000731)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
response to red or far red light (GO:0009639)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
response to blue light (GO:0009637)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to toxic substance (GO:0009636)	25	0	.21	-	 < 0.01	1.00E00	1.00E00
5-phosphoribose 1-diphosphate biosynthetic process (GO:0006015)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to herbicide (GO:0009635)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
D-ribose metabolic process (GO:0006014)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mannose metabolic process (GO:0006013)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
iron ion transmembrane transport (GO:0034755)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
galactose metabolic process (GO:0006012)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
UDP-glucose metabolic process (GO:0006011)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular water homeostasis (GO:0009992)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of translational fidelity (GO:0045903)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of translational elongation (GO:0045900)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phytol metabolic process (GO:0033306)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
recombinational repair (GO:0000725)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
double-strand break repair via homologous recombination (GO:0000724)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular modified histidine biosynthetic process (GO:0052703)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular modified histidine metabolic process (GO:0052701)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
response to abiotic stimulus (GO:0009628)	18	0	.15	-	 < 0.01	1.00E00	1.00E00
glucose catabolic process (GO:0006007)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
fructose 6-phosphate metabolic process (GO:0006002)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
rRNA processing (GO:0006364)	23	0	.19	-	 < 0.01	1.00E00	1.00E00
RNA 3'-end processing (GO:0031123)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
fructose metabolic process (GO:0006000)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
photoreactive repair (GO:0000719)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transcription-coupled nucleotide-excision repair, DNA damage recognition (GO:0000716)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair, DNA damage recognition (GO:0000715)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular chemical homeostasis (GO:0055082)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
anion homeostasis (GO:0055081)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cation homeostasis (GO:0055080)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
cell projection assembly (GO:0030031)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cell projection organization (GO:0030030)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
antimonite transport (GO:0015699)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
modulation of process of other organism (GO:0035821)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
defense response to virus (GO:0051607)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
response to bacterium (GO:0009617)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
tRNA pseudouridine synthesis (GO:0031119)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
detection of stimulus (GO:0051606)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
magnesium ion transport (GO:0015693)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
rRNA pseudouridine synthesis (GO:0031118)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pilus organization (GO:0043711)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to virus (GO:0009615)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
cadmium ion transport (GO:0015691)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
proteolysis involved in cellular protein catabolic process (GO:0051603)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
DNA-templated transcription, elongation (GO:0006354)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA-templated transcription, termination (GO:0006353)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
DNA-templated transcription, initiation (GO:0006352)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
cytidine deamination (GO:0009972)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
transcription, DNA-templated (GO:0006351)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
metabolite repair (GO:0110051)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
organic cyclic compound biosynthetic process (GO:1901362)	241	0	2.03	-	 < 0.01	2.61E-01	1.00E00
transition metal ion homeostasis (GO:0055076)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
fructose 1,6-bisphosphate metabolic process (GO:0030388)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
calcium ion homeostasis (GO:0055074)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cadmium ion homeostasis (GO:0055073)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
iron ion homeostasis (GO:0055072)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
copper ion homeostasis (GO:0055070)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cell adhesion involved in single-species biofilm formation (GO:0043709)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
cell adhesion involved in biofilm formation (GO:0043708)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
molybdate ion transport (GO:0015689)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
response to biotic stimulus (GO:0009607)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
methotrexate transport (GO:0051958)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of signal transduction (GO:0009966)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
septin ring organization (GO:0031106)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
poly-hydroxybutyrate biosynthetic process (GO:0042619)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
poly-hydroxybutyrate metabolic process (GO:0042618)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
zinc ion homeostasis (GO:0055069)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
monovalent inorganic cation homeostasis (GO:0055067)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
metal ion homeostasis (GO:0055065)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
phosphate ion homeostasis (GO:0055062)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytidine metabolic process (GO:0046087)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
adenine biosynthetic process (GO:0046084)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
adenine metabolic process (GO:0046083)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
dUTP catabolic process (GO:0046081)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dUTP metabolic process (GO:0046080)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
copper ion import (GO:0015677)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
oxygen transport (GO:0015671)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
steroid biosynthetic process (GO:0006694)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular monovalent inorganic cation homeostasis (GO:0030004)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular cation homeostasis (GO:0030003)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
dUDP metabolic process (GO:0046077)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular anion homeostasis (GO:0030002)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dTTP catabolic process (GO:0046076)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mucopolysaccharide metabolic process (GO:1903510)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
metal ion transport (GO:0030001)	48	0	.40	-	 < 0.01	1.00E00	1.00E00
dTTP metabolic process (GO:0046075)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
dTMP metabolic process (GO:0046073)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dTDP metabolic process (GO:0046072)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dGTP metabolic process (GO:0046070)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
gas transport (GO:0015669)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cellular component size (GO:0032535)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glycosphingolipid biosynthetic process (GO:0006688)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glycosphingolipid metabolic process (GO:0006687)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
